"signature_date";"system_object_id";"global_id";"ALFA3";"SHORTNAME";"FULLNAME";"ALFA2";"CODE";
"21.09.2016 15:44:34";"188";"273330217";"CRI";"КОСТА-РИКА";"Республика Коста-Рика";"CR";"188";
"21.09.2016 15:45:15";"191";"273330218";"HRV";"ХОРВАТИЯ";"Республика Хорватия";"HR";"191";
"21.09.2016 15:45:16";"192";"273330219";"CUB";"КУБА";"Республика Куба";"CU";"192";
"21.09.2016 15:45:17";"196";"273330220";"CYP";"КИПР";"Республика Кипр";"CY";"196";
"21.09.2016 15:45:19";"203";"273330221";"CZE";"ЧЕШСКАЯ РЕСПУБЛИКА";"";"CZ";"203";
"21.09.2016 15:45:19";"204";"273330222";"BEN";"БЕНИН";"Республика Бенин";"BJ";"204";
"21.09.2016 15:45:21";"208";"273330223";"DNK";"ДАНИЯ";"Королевство Дания";"DK";"208";
"21.09.2016 15:46:16";"212";"273330224";"DMA";"ДОМИНИКА";"Содружество Доминики";"DM";"212";
"21.09.2016 15:46:17";"214";"273330225";"DOM";"ДОМИНИКАНСКАЯ РЕСПУБЛИКА";"";"DO";"214";
"21.09.2016 15:46:19";"218";"273330226";"ECU";"ЭКВАДОР";"Республика Эквадор";"EC";"218";
"21.09.2016 15:46:21";"222";"273330227";"SLV";"ЭЛЬ-САЛЬВАДОР";"Республика Эль-Сальвадор";"SV";"222";
"21.09.2016 15:46:22";"226";"273330228";"GNQ";"ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ";"Республика Экваториальная Гвинея";"GQ";"226";
"21.09.2016 15:46:22";"231";"273330229";"ETH";"ЭФИОПИЯ";"Федеративная Демократическая Республика Эфиопия";"ET";"231";
"21.09.2016 15:47:27";"232";"273330230";"ERI";"ЭРИТРЕЯ";"Государство Эритрея";"ER";"232";
"21.09.2016 15:47:29";"233";"273330231";"EST";"ЭСТОНИЯ";"Эстонская Республика";"EE";"233";
"21.09.2016 15:47:30";"234";"273330232";"FRO";"ФАРЕРСКИЕ ОСТРОВА";"";"FO";"234";
"21.09.2016 15:47:31";"238";"273330233";"FLK";"ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)";"";"FK";"238";
"21.09.2016 15:47:32";"239";"273330234";"SGS";"ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА";"";"GS";"239";
"21.09.2016 15:47:32";"242";"273330235";"FJI";"ФИДЖИ";"Республика Фиджи";"FJ";"242";
"21.09.2016 15:48:42";"246";"273330236";"FIN";"ФИНЛЯНДИЯ";"Финляндская Республика";"FI";"246";
"21.09.2016 15:48:45";"248";"273330237";"ALA";"ЭЛАНДСКИЕ ОСТРОВА";"";"AX";"248";
"21.09.2016 15:48:47";"250";"273330238";"FRA";"ФРАНЦИЯ";"Французская Республика";"FR";"250";
"21.09.2016 15:48:50";"254";"273330239";"GUF";"ФРАНЦУЗСКАЯ ГВИАНА";"";"GF";"254";
"21.09.2016 15:48:53";"258";"273330240";"PYF";"ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ";"";"PF";"258";
"21.09.2016 15:48:55";"260";"273330241";"ATF";"ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ";"";"TF";"260";
"21.09.2016 15:49:57";"262";"273330242";"DJI";"ДЖИБУТИ";"Республика Джибути";"DJ";"262";
"21.09.2016 15:49:58";"268";"273330243";"GEO";"ГРУЗИЯ";"";"GE";"268";
