"signature_date";"system_object_id";"global_id";"ALFA3";"SHORTNAME";"FULLNAME";"ALFA2";"CODE";
"21.09.2016 15:57:45";"500";"273330297";"MSR";"МОНТСЕРРАТ";"";"MS";"500";
"21.09.2016 15:57:45";"504";"273330298";"MAR";"МАРОККО";"Королевство Марокко";"MA";"504";
"21.09.2016 15:58:52";"512";"273330299";"OMN";"ОМАН";"Султанат Оман";"OM";"512";
"21.09.2016 15:58:54";"516";"273330300";"NAM";"НАМИБИЯ";"Республика Намибия";"NA";"516";
"21.09.2016 15:58:54";"520";"273330301";"NRU";"НАУРУ";"Республика Науру";"NR";"520";
"21.09.2016 15:58:53";"524";"273330302";"NPL";"НЕПАЛ";"Федеративная Демократическая Республика Непал";"NP";"524";
"21.09.2016 15:58:53";"528";"273330303";"NLD";"НИДЕРЛАНДЫ";"Королевство Нидерландов";"NL";"528";
"21.09.2016 15:58:52";"531";"273330304";"CUW";"КЮРАСАО";"";"CW";"531";
"21.09.2016 16:00:03";"534";"273330305";"SXM";"СЕН-МАРТЕН (нидерландская часть)";"";"SX";"534";
"21.09.2016 16:00:05";"535";"273330306";"BES";"БОНЭЙР, СИНТ-ЭСТАТИУС И САБА";"";"BQ";"535";
"21.09.2016 16:00:06";"548";"273330307";"VUT";"ВАНУАТУ";"Республика Вануату";"VU";"548";
"21.09.2016 16:00:07";"554";"273330308";"NZL";"НОВАЯ ЗЕЛАНДИЯ";"";"NZ";"554";
"21.09.2016 16:00:08";"558";"273330309";"NIC";"НИКАРАГУА";"Республика Никарагуа";"NI";"558";
"21.09.2016 16:00:08";"562";"273330310";"NER";"НИГЕР";"Республика Нигер";"NE";"562";
"21.09.2016 16:00:09";"566";"273330311";"NGA";"НИГЕРИЯ";"Федеративная Республика Нигерия";"NG";"566";
"21.09.2016 16:01:16";"570";"273330312";"NIU";"НИУЭ";"Ниуэ";"NU";"570";
"21.09.2016 16:01:17";"574";"273330313";"NFK";"ОСТРОВ НОРФОЛК";"";"NF";"574";
"21.09.2016 16:01:17";"578";"273330314";"NOR";"НОРВЕГИЯ";"Королевство Норвегия";"NO";"578";
"21.09.2016 16:01:18";"580";"273330315";"MNP";"СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА";"Содружество Северных Марианских островов";"MP";"580";
"21.09.2016 16:01:18";"581";"273330316";"UMI";"МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ";"";"UM";"581";
"21.09.2016 16:01:19";"583";"273330317";"FSM";"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ";"Федеративные Штаты Микронезии";"FM";"583";
"21.09.2016 16:01:19";"584";"273330318";"MHL";"МАРШАЛЛОВЫ ОСТРОВА";"Республика Маршалловы Острова";"MH";"584";
"21.09.2016 16:02:18";"585";"273330319";"PLW";"ПАЛАУ";"Республика Палау";"PW";"585";
"21.09.2016 16:02:20";"586";"273330320";"PAK";"ПАКИСТАН";"Исламская Республика Пакистан";"PK";"586";
"21.09.2016 16:02:21";"591";"273330321";"PAN";"ПАНАМА";"Республика Панама";"PA";"591";
"21.09.2016 16:02:23";"598";"273330322";"PNG";"ПАПУА НОВАЯ ГВИНЕЯ";"Независимое Государство Папуа Новая Гвинея";"PG";"598";
"21.09.2016 16:02:24";"600";"273330323";"PRY";"ПАРАГВАЙ";"Республика Парагвай";"PY";"600";
"21.09.2016 16:02:25";"604";"273330324";"PER";"ПЕРУ";"Республика Перу";"PE";"604";
"21.09.2016 16:03:14";"608";"273330325";"PHL";"ФИЛИППИНЫ";"Республика Филиппины";"PH";"608";
"21.09.2016 16:03:19";"612";"273330326";"PCN";"ПИТКЕРН";"";"PN";"612";
"21.09.2016 16:03:18";"616";"273330327";"POL";"ПОЛЬША";"Республика Польша";"PL";"616";
"21.09.2016 16:03:16";"620";"273330328";"PRT";"ПОРТУГАЛИЯ";"Португальская Республика";"PT";"620";
"21.09.2016 16:03:15";"624";"273330329";"GNB";"ГВИНЕЯ-БИСАУ";"Республика Гвинея-Бисау";"GW";"624";
"21.09.2016 16:04:29";"626";"273330330";"TLS";"ТИМОР-ЛЕСТЕ";"Демократическая Республика Тимор-Лесте";"TL";"626";
"21.09.2016 16:04:30";"630";"273330331";"PRI";"ПУЭРТО-РИКО";"";"PR";"630";
"21.09.2016 16:04:32";"634";"273330332";"QAT";"КАТАР";"Государство Катар";"QA";"634";
"21.09.2016 16:04:33";"638";"273330333";"REU";"РЕЮНЬОН";"";"RE";"638";
"21.09.2016 16:04:34";"642";"273330334";"ROU";"РУМЫНИЯ";"";"RO";"642";
"21.09.2016 16:04:35";"643";"273330335";"RUS";"РОССИЯ";"Российская Федерация";"RU";"643";
"21.09.2016 16:04:35";"646";"273330336";"RWA";"РУАНДА";"Руандийская Республика";"RW";"646";
"21.09.2016 16:05:29";"652";"273330337";"BLM";"СЕН-БАРТЕЛЕМИ";"";"BL";"652";
"21.09.2016 16:05:31";"654";"273330338";"SHN";"СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ";"";"SH";"654";
"21.09.2016 16:05:32";"659";"273330339";"KNA";"СЕНТ-КИТС И НЕВИС";"";"KN";"659";
"21.09.2016 16:05:33";"660";"273330340";"AIA";"АНГИЛЬЯ";"";"AI";"660";
"21.09.2016 16:05:30";"662";"273330341";"LCA";"СЕНТ-ЛЮСИЯ";"";"LC";"662";
"21.09.2016 16:05:30";"663";"273330342";"MAF";"СЕН-МАРТЕН";"";"MF";"663";
"21.09.2016 16:06:28";"666";"273330343";"SPM";"СЕНТ-ПЬЕР И МИКЕЛОН";"";"PM";"666";
"21.09.2016 16:06:27";"670";"273330344";"VCT";"СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ";"";"VC";"670";
"21.09.2016 16:06:26";"674";"273330345";"SMR";"САН-МАРИНО";"Республика Сан-Марино";"SM";"674";
"21.09.2016 16:06:26";"678";"273330346";"STP";"САН-ТОМЕ И ПРИНСИПИ";"Демократическая Республика Сан-Томе и Принсипи";"ST";"678";
"21.09.2016 16:06:25";"682";"273330347";"SAU";"САУДОВСКАЯ АРАВИЯ";"Королевство Саудовская Аравия";"SA";"682";
"21.09.2016 16:06:30";"686";"273330348";"SEN";"СЕНЕГАЛ";"Республика Сенегал";"SN";"686";
"21.09.2016 16:06:29";"688";"273330349";"SRB";"СЕРБИЯ";"Республика Сербия";"RS";"688";
"21.09.2016 16:07:37";"690";"273330350";"SYC";"СЕЙШЕЛЫ";"Республика Сейшелы";"SC";"690";
"21.09.2016 16:07:37";"694";"273330351";"SLE";"СЬЕРРА-ЛЕОНЕ";"Республика Сьерра-Леоне";"SL";"694";
